Year,Month,Day,Sensor,Technician,Runs,Site,MakeNotesFile,MakeTableFile,CheckSum
2026,7,14,CALVIS, ,1,Gatton,True,True,14326879.0
2026,7,14,GOBI, ,1,Gatton,True,True,95439134.0
